Date,DAU (in-game battlers),Axie Holders,Monthly Volume,Discord Members,ETH in Treasury,AXS in Treasury
4/24/21,"38,000","45,256","$8,000,000 ","54,914",,
5/24/21,"61,125","62,948","$14,373,391 ","84,568",275,"182,000"
5/31/21,"80,770","82,779","$22,801,955 ","99,089",480,"326,000"
6/7/21,"108,297","109,661","$45,609,000 ","99,904",775,"543,693"
6/14/21,"139,200","142,310","$60,669,442 ","125,854","1,167.76","850,013"
6/21/21,"187,570","189,831","$69,146,671 ","155,994","1,647.43","1,229,927"
6/28/21,"252,021","245,586","$96,160,044 ","194,297","2,465.00","1,728,131"
7/5/21,"350,077","329,838","$172,761,892 ","246,846","3,905.50","2,745,667"
7/12/21,"492,595","454,722","$300,076,072 ","370,843","6,927.00","4,592,731"
7/19/21,"635,600","576,616","$427,250,481 ","553,500","10,996.00","6,382,975"
7/26/21,"806,000","719,000","$659,896,349 ","655,679","14,170.00","7,900,251"
8/2/21,"910,700","836,275","$844,278,503 ","708,431","17,295.00","9,615,847"
8/9/21,"1,082,100","1,005,682","$1,080,655,181 ","626,386","20,418.00","11,898,803"
8/16/21,"1,206,300","1,192,660","$1,035,461,200 ","771,458","23,575.00","13,233,659"
8/23/21,"1,333,900","1,400,713","$1,020,000,000 ","800,000","26,547.00","14,296,907"
8/30/21,"1,420,100","1,570,520","$899,400,000 ","800,000","28,476.00","15,041,519"
9/6/21,"1,586,000","1,801,825","$948,410,000 ","800,000","30,385.00","15,803,143"
9/13/21,"1,669,000","1,988,507","$713,560,000 ","800,000","31,890.00","16,573,111"
9/20/21,"1,793,800","1,750,900","$512,910,000 ","800,000","33,443.00","17,535,335"
9/27/21,"1,856,000","1,850,442","$493,390,000 ","800,000","34,940.00","17,936,391"
10/4/21,"1,997,500","1,977,408","$525,790,000 ","800,000","36,300.00","18,300,307"
10/11/21,"2,131,780","2,106,576","$555,510,000 ","800,000","38,194.87","18,651,330"
10/18/21,"2,225,510","2,201,052","$579,310,000 ","800,000","39,611.31","19,009,839"
10/25/21,"2,274,710","2,294,389","$616,610,000 ","800,000","40,875.60","19,353,652.00"
11/1/21,"2,362,720","2,361,191","$617,210,000 ","800,000","42,030.54","19,605,789"