Monthly Staking Rewards,Monthly Staking Rewards
21-Oct,"2,000,000"
21-Nov,"2,000,000"
21-Dec,"2,000,000"
22-Jan,"1,566,088"
22-Feb,"1,566,088"
22-Mar,"1,566,000"
22-Apr,"1,566,000"
22-May,"1,566,000"
22-Jun,"1,566,000"
22-Jul,"1,566,000"
22-Aug,"1,566,000"
22-Sep,"1,566,000"
22-Oct,"1,566,000"
22-Nov,"1,566,000"
22-Dec,"1,566,000"
23-Jan,"1,566,000"
23-Feb,"1,566,000"
23-Mar,"1,566,000"
23-Apr,"1,566,000"
23-May,"1,566,000"
23-Jun,"1,566,000"
23-Jul,"1,566,000"
23-Aug,"1,566,000"
23-Sep,"1,566,000"
23-Oct,"1,566,000"
23-Nov,"1,566,000"
23-Dec,"1,566,000"
24-Jan,"1,566,000"
24-Feb,"1,566,000"
24-Mar,"1,566,000"
24-Apr,"1,566,000"
24-May,"1,566,000"
24-Jun,"1,566,000"
24-Jul,"1,566,000"
24-Aug,"1,566,000"
24-Sep,"1,566,000"
24-Oct,"1,566,000"
24-Nov,"1,566,000"
24-Dec,"1,566,000"
25-Jan,"1,566,000"
25-Feb,"1,566,000"
25-Mar,"1,566,000"
25-Apr,"1,566,000"
25-May,"1,566,000"
25-Jun,"1,566,000"
25-Jul,"1,044,000"
25-Aug,"1,044,000"
25-Sep,"1,044,000"
25-Oct,"1,044,000"
25-Nov,"1,044,000"
25-Dec,"1,044,000"