category,Users,Volume,Transactions
1635897600000,101273,53591379.72,419772
1635811200000,101173,36640711.05,395162
1635724800000,94199,52104066.02,369673
1635638400000,90132,34737729.01,357432
1635552000000,92007,39319135.02,361956
1635465600000,100462,66864285.17,407112
1635379200000,93561,54223506.21,374362
1635292800000,87460,54706923.48,350686
1635206400000,91513,51890325.25,373211
1635120000000,92952,46821910.1,382109
1635033600000,87209,40509133.77,365022
1634947200000,87028,41931968.29,363960
1634860800000,88776,39216657.12,375725
1634774400000,91597,64120662.71,391428
1634688000000,92740,60768959.52,397341
1634601600000,91105,41530548.4,378998
1634515200000,92588,63957449.9,372299
1634428800000,85768,42215972.34,350115
1634342400000,82724,45185227.11,313197
1634256000000,84325,79831221.24,301109
1634169600000,78944,64246753.9,285600
1634083200000,83332,182541210.94,343668
1633996800000,84780,52782377.35,353943
1633910400000,85867,125621520.23,347996
1633824000000,79229,102119208.76,328352
1633737600000,80510,228897050,332134
1633651200000,84171,125166754.24,349784
1633564800000,85935,112870085.83,363313
1633478400000,85367,210909340.6,338408
1633392000000,87194,159961285.25,352965
1633305600000,92551,191115741.92,369507
1633219200000,78383,160874777.59,331773
1633132800000,76528,211041455.71,333542
1633046400000,81154,447270388.03,344057
1632960000000,70387,303364017.83,258338
1632873600000,66116,5596515.06,307296
1632787200000,61735,4522560.08,296023
1632700800000,60898,4681655.48,307031
1632614400000,58712,5073225.98,286076
1632528000000,62526,5612407.64,292725
1632441600000,70205,8318142.07,306234
1632355200000,69190,5604304.1,319702
1632268800000,53771,5693530.9,265209
1632182400000,54119,6788342.48,267146
1632096000000,56453,7280115.65,278102
1632009600000,56136,6676752.37,276602
1631923200000,57671,8617182.5,282224
1631836800000,55528,7420811.05,273726
1631750400000,60195,8884815.31,301188
1631664000000,60208,8070096.16,305340
1631577600000,58418,8029672.29,291950
1631491200000,57683,8685467.96,294960
1631404800000,57450,8633615.46,290450
1631318400000,58389,9573733.92,286043
1631232000000,60831,9324179.01,297645
1631145600000,59965,9649998.47,280998
1631059200000,58383,9587809.29,276369
1630972800000,61403,11346768.57,295951
1630886400000,60580,11261670.53,292289
1630800000000,57983,9469158.39,277253
1630713600000,58056,7477902.06,279135
1630627200000,56875,8086826.62,288242
1630540800000,61029,8552521.7,316051
1630454400000,58195,9102503.93,321578
1630368000000,57450,9356786.84,294455
1630281600000,59631,8497009.89,303927
1630195200000,59203,8904482.65,304808
1630108800000,60691,9319708.87,318972
1630022400000,62152,12354163.89,342768
1629936000000,61314,12189002.58,316529
1629849600000,58208,8547780.1,292085
1629763200000,59037,10847329.19,296677
1629676800000,57215,9919006.32,280326
1629590400000,56877,10366447.93,268697
1629504000000,59827,9799593.33,292508
1629417600000,62778,12012951.21,316910
1629331200000,63179,12178763.13,321268
1629244800000,61349,12692132.41,309270
1629158400000,63791,10985245.55,323805
1629072000000,62445,11539726.5,322179
1628985600000,60222,11354442.43,317008
1628899200000,61013,12696326.81,330692
1628812800000,57646,12246563.9,317913
1628726400000,59384,13766196.98,310185
1628640000000,57382,12866780.19,295538
1628553600000,52325,11160029.9,268290
1628467200000,53280,14617796.57,288747
1628380800000,45335,15432323.55,263629
1628294400000,43899,15836054.59,254208
1628208000000,46312,18402591.46,247725
1628121600000,42414,17047521.78,223826
1628035200000,38322,11947419.79,199319
1627948800000,41268,14338861.8,213817
1627862400000,37368,11542823.5,196622
1627776000000,36796,13280975.62,206348
1627689600000,37663,13547580.47,205605
1627603200000,38211,14144462.07,210544
1627516800000,38194,13940689.87,203262
1627430400000,35539,12503710.82,187992
1627344000000,28779,7273068.99,139940
1627257600000,30132,9889912.13,174487
1627171200000,35485,12099320.47,190762
1627084800000,33064,11491433.76,163449
1626998400000,39002,6936405.37,186487
1626912000000,35325,6142526.35,163656
1626825600000,29661,3214574.14,171084
1626739200000,31608,4200776.49,187124
1626652800000,31579,4828106.12,190597
1626566400000,28793,3625788.55,162556
1626480000000,33734,6155521.64,214777
1626393600000,35972,10226739.65,230992
1626307200000,34243,8243046.14,202636
1626220800000,37473,8984839.06,221679
1626134400000,28159,3867069.77,113307
1626048000000,33144,7469044.94,182837
1625961600000,29698,6295610.77,171995
1625875200000,30445,6289202.32,176319
1625788800000,30008,5190869.03,172472
1625702400000,27774,5083538.4,152456
1625616000000,26420,3670093.64,149262
1625529600000,24061,3432318.55,140624
1625443200000,22796,3312634.05,128504
1625356800000,21933,2461846.58,126771
1625270400000,20683,2275552.46,119439
1625184000000,19399,2088804.09,108790
1625097600000,17806,1192448.3,93986
1625011200000,21900,1118010.8,103863
1624924800000,16068,1257513.18,90610
1624838400000,14850,545913.16,79292
1624752000000,14367,493094.2,73393
1624665600000,14210,493419.95,73749
1624579200000,12693,465099.05,68573
1624492800000,12397,1161250.63,62736
1624406400000,11502,341104.17,55039
1624320000000,11874,361141.73,54842
1624233600000,11732,1197558.83,58618
1624147200000,11329,405165.29,57215
1624060800000,10793,407435.69,57470
1623974400000,10685,405017.98,55725
1623888000000,10118,922842.01,55222
1623801600000,10378,595721.14,61447
1623715200000,10045,361963.58,61053
1623628800000,9464,335105.54,56802
1623542400000,8922,309185.76,49591
1623456000000,8877,355970.6,47691
1623369600000,8718,785613.51,48527
1623283200000,8583,331172.65,49256
1623196800000,8061,302936.02,47289
1623110400000,8022,973973.55,44462
1623024000000,7370,304796.67,41633
1622937600000,7120,308700.23,40907
1622851200000,6968,307238.7,40412
1622764800000,6579,644121.76,37500
1622678400000,6283,1129935.75,36070
1622592000000,6196,3119014.67,33448
1622505600000,6211,3171018.95,33465
1622419200000,5729,2788779.79,29128
1622332800000,5386,2212170.86,26525
1622246400000,5071,2137981.41,24638
1622160000000,4684,1862995.81,23315
1622073600000,4451,1341403.98,23449
1621987200000,4474,1204371.71,22733
1621900800000,4440,1425670.99,22939
1621814400000,3807,928763.27,18193
1621728000000,3736,1015188.15,18947
1621641600000,3859,1111719.52,18071
1621555200000,3518,1389725.19,16651
1621468800000,3350,993877.42,15747
1621382400000,3361,999249.49,15732
1621296000000,3671,1149158.44,17331
1621209600000,3617,1275645.12,15926
1621123200000,3208,1081588.26,13683
1621036800000,2740,1057168.76,11009
1620950400000,2392,1244704.1,9873
1620864000000,2347,745094.52,9676
1620777600000,2241,675877.44,9282
1620691200000,2094,488100.62,8795
1620604800000,1360,408059.7,8082
1620518400000,1447,547859.91,8697
1620432000000,1383,496775.41,8716
1620345600000,1579,698082.1,9191
1620259200000,1643,657788.98,9129
1620172800000,1736,759833.17,10070
1620086400000,1670,690664.05,9541
1620000000000,1334,589337.17,7625
1619913600000,1379,574156.17,7800
1619827200000,1318,517536.45,6811
1619740800000,1346,1243963.79,6843
1619654400000,960,331489.94,5460
1619568000000,303,222404.51,1752
1619481600000,51,116865.61,352
1619395200000,56,49527.9,677
1619308800000,48,116487.51,366
1619222400000,52,77819.66,245
1619136000000,50,73070.15,205
1619049600000,64,66217.98,437
1618963200000,35,41802.52,380
1618876800000,39,36768.92,279
1618790400000,43,76000.2,214
1618704000000,35,14948.01,173
1618617600000,48,48909.16,264
1618531200000,58,102354.41,355
1618444800000,57,50339.68,229
1618358400000,49,136674.82,320
1618272000000,38,27555.19,270
1618185600000,31,3869.84,175
1618099200000,40,58550.84,248
1618012800000,48,113915.88,268
1617926400000,38,102919.18,227
1617840000000,38,68000.51,128
1617753600000,50,26338.14,273
1617667200000,40,22192.91,140
1617580800000,49,45293.91,162
1617494400000,39,1466.92,168
1617408000000,51,62487.7,223
1617321600000,43,53651.25,164
1617235200000,33,17995.99,125
1617148800000,41,23088.43,148
1617062400000,52,9905.16,178
1616976000000,54,32813.36,266
1616889600000,36,31369.93,127
1616803200000,45,28955.86,318
1616716800000,46,47061.67,201
1616630400000,57,95333.02,240
1616544000000,58,101076.79,336
1616457600000,59,34615.6,336
1616371200000,66,75416.76,302
1616284800000,60,185350.88,731
1616198400000,81,119744.76,546
1616112000000,82,86459.25,404
1616025600000,71,64718.91,638
1615939200000,76,78329.99,482
1615852800000,73,101595.32,390
1615766400000,79,79492.3,480
1615680000000,76,114000.16,424
1615593600000,69,151172.63,437
1615507200000,64,99722.5,275
1615420800000,86,421764.04,689
1615334400000,83,104964.01,556
1615248000000,91,691319.06,535
1615161600000,101,602080.39,616
1615075200000,97,205920.39,438
1614988800000,100,163369.95,735
1614902400000,97,289920.66,505
1614816000000,83,147986.76,346
1614729600000,51,75360.03,416
1614643200000,48,40519.18,280
1614556800000,53,34800.07,363
1614470400000,68,45344.51,366
1614384000000,64,38389.98,365
1614297600000,71,233363.06,288
1614211200000,84,253758.62,421
1614124800000,78,204923.72,498
1614038400000,46,39093.4,191
1613952000000,65,57237.92,370
1613865600000,67,145058.75,376
1613779200000,57,68036.03,276
1613692800000,48,33189.13,228
1613606400000,63,171324.47,288
1613520000000,53,79672.52,346
1613433600000,49,46628.99,225
1613347200000,35,40939.83,110
1613260800000,43,52428.51,184
1613174400000,27,4754.8,81
1613088000000,35,7647.61,116
1613001600000,41,25960.13,101
1612915200000,41,21361.86,172
1612828800000,34,2205.63,161
1612742400000,37,1534453.17,209
1612656000000,32,10029.71,199
1612569600000,38,15635.95,264
1612483200000,40,1365.72,135
1612396800000,59,1464.18,296
1612310400000,97,5147.82,402